"candidate_name","office","district","purpose","total"
"CALABRESE, CARMEM VINCENT MR.","Senate","00","OTHER",21259.71
"COLLINS, SUSAN M.","Senate","00","OTHER",1656599.34
"COLLINS, SUSAN M.","Senate","00","ADMINISTRATIVE",124681.74
"COLLINS, SUSAN M.","Senate","00","REFUNDS",86127.11
"COLLINS, SUSAN M.","Senate","00","TRAVEL",25977.44
"COLLINS, SUSAN M.","Senate","00","FUNDRAISING",23284.71
"COLLINS, SUSAN M.","Senate","00","ADVERTISING",10991.25
"COLLINS, SUSAN M.","Senate","00","MATERIALS",723
"COSTELLO, DAVID","Senate","00","OTHER",12078.7
"COSTELLO, DAVID","Senate","00","MATERIALS",1194.9
"DUNLAP, MATT","House","02","OTHER",128429.3
"DUNLAP, MATT","House","02","ADMINISTRATIVE",20724.87
"DUNLAP, MATT","House","02","ADVERTISING",5283.48
"DUNLAP, MATT","House","02","REFUNDS",250
"EVANS, DAVID ALAN","Senate","00","OTHER",6411
"FAVREAU, TUCKER","Senate","00","OTHER",9440.5
"FAVREAU, TUCKER","Senate","00","ADMINISTRATIVE",185.54
"GOLDEN, JARED","House","02","OTHER",1304141.06
"GOLDEN, JARED","House","02","REFUNDS",717163.32
"GOLDEN, JARED","House","02","FUNDRAISING",201612.18
"GOLDEN, JARED","House","02","ADMINISTRATIVE",165866.02
"GOLDEN, JARED","House","02","CONTRIBUTIONS",32000
"GOLDEN, JARED","House","02","TRAVEL",10778.24
"GOLDEN, JARED","House","02","ADVERTISING",7913.75
"GOLDEN, JARED","House","02","MATERIALS",3000
"KLEBAN, DAN","Senate","00","OTHER",354992.75
"KLEBAN, DAN","Senate","00","ADVERTISING",1e+05
"KLEBAN, DAN","Senate","00","REFUNDS",36500
"KLEBAN, DAN","Senate","00","ADMINISTRATIVE",3054.76
"LEPAGE, PAUL","House","02","OTHER",271162.48
"LEPAGE, PAUL","House","02","FUNDRAISING",54542.38
"LEPAGE, PAUL","House","02","ADMINISTRATIVE",19488.02
"LEPAGE, PAUL","House","02","ADVERTISING",17998.02
"LEPAGE, PAUL","House","02","MATERIALS",5600.47
"LEPAGE, PAUL","House","02","TRANSFERS",5505.39
"LEPAGE, PAUL","House","02","CONTRIBUTIONS",1201
"LEPAGE, PAUL","House","02","TRAVEL",886.85
"MILLS, JANET TRAFTON","Senate","00","OTHER",1311705.97
"MILLS, JANET TRAFTON","Senate","00","ADMINISTRATIVE",241045.46
"MILLS, JANET TRAFTON","Senate","00","FUNDRAISING",42404.51
"MILLS, JANET TRAFTON","Senate","00","REFUNDS",21885
"MILLS, JANET TRAFTON","Senate","00","TRAVEL",4438.42
"PINGREE, CHELLIE M","House","01","OTHER",114663.52
"PINGREE, CHELLIE M","House","01","CONTRIBUTIONS",95500
"PINGREE, CHELLIE M","House","01","ADMINISTRATIVE",9575.59
"PINGREE, CHELLIE M","House","01","FUNDRAISING",6518.68
"PINGREE, CHELLIE M","House","01","MATERIALS",2187.42
"PINGREE, CHELLIE M","House","01","TRAVEL",2015.96
"PINGREE, CHELLIE M","House","01","REFUNDS",275
"PLATNER, GRAHAM","Senate","00","OTHER",3776113.73
"PLATNER, GRAHAM","Senate","00","FUNDRAISING",215654.4
"PLATNER, GRAHAM","Senate","00","ADVERTISING",197595.61
"PLATNER, GRAHAM","Senate","00","ADMINISTRATIVE",67027.24
"PLATNER, GRAHAM","Senate","00","REFUNDS",22257
"PLATNER, GRAHAM","Senate","00","TRAVEL",5620.74
"RENCH, PHILLIP","Senate","00","OTHER",57820.49
"RENCH, PHILLIP","Senate","00","REFUNDS",3827.04
"RENCH, PHILLIP","Senate","00","ADMINISTRATIVE",2777.93
"RENCH, PHILLIP","Senate","00","ADVERTISING",508.51
"ROBERTS, TIFFANY DANIELLE","House","01","OTHER",7503.76
"RODRIGUEZ, DAIRA","Senate","00","LOAN-REPAYMENTS",160000
"RODRIGUEZ, DAIRA","Senate","00","OTHER",57752.39
"RODRIGUEZ, DAIRA","Senate","00","ADMINISTRATIVE",23000
"RODRIGUEZ, DAIRA","Senate","00","MATERIALS",2615.15
"RUSSELL, RONALD CHARLES MR.","House","01","OTHER",10882.88
"RUSSELL, RONALD CHARLES MR.","House","01","ADMINISTRATIVE",10000
"RUSSELL, RONALD CHARLES MR.","House","01","ADVERTISING",222.14
"SMALL, ERIC","House","01","OTHER",10790.22
"SMALL, ERIC","House","01","REFUNDS",1250.33
"WOOD, JORDAN","House","02","OTHER",3404667.08
"WOOD, JORDAN","House","02","ADMINISTRATIVE",343067.61
"WOOD, JORDAN","House","02","FUNDRAISING",170366.84
"WOOD, JORDAN","House","02","ADVERTISING",56324.53
"WOOD, JORDAN","House","02","REFUNDS",19414.87
"WOOD, JORDAN","House","02","TRAVEL",18710.02
